name,word_1_text,word_1_count,word_2_text,word_2_count,word_3_text,word_3_count,word_4_text,word_4_count,word_5_text,word_5_count,word_6_text,word_6_count,word_7_text,word_7_count,word_8_text,word_8_count,word_9_text,word_9_count,word_10_text,word_10_count,3gram_1_text,3gram_1_count,3gram_2_text,3gram_2_count,3gram_3_text,3gram_3_count,3gram_4_text,3gram_4_count,3gram_5_text,3gram_5_count,3gram_6_text,3gram_6_count,3gram_7_text,3gram_7_count,3gram_8_text,3gram_8_count,3gram_9_text,3gram_9_count,3gram_10_text,3gram_10_count,4gram_1_text,4gram_1_count,4gram_2_text,4gram_2_count,4gram_3_text,4gram_3_count,4gram_4_text,4gram_4_count,4gram_5_text,4gram_5_count,4gram_6_text,4gram_6_count,4gram_7_text,4gram_7_count,4gram_8_text,4gram_8_count,4gram_9_text,4gram_9_count,4gram_10_text,4gram_10_count,5gram_1_text,5gram_1_count,5gram_2_text,5gram_2_count,5gram_3_text,5gram_3_count,5gram_4_text,5gram_4_count,5gram_5_text,5gram_5_count,5gram_6_text,5gram_6_count,5gram_7_text,5gram_7_count,5gram_8_text,5gram_8_count,5gram_9_text,5gram_9_count,5gram_10_text,5gram_10_count
all summers,right,2,yourself,2,well,2,way,2,not,2,ahh,1,holy,1,shit,1,tried,1,kill,1,holy shit now,1,shit now what,1,you tried to,1,tried to kill,1,to kill yourself,1,well is there,1,is there some,1,there some way,1,some way you,1,way you can,1,holy shit now what,1,you tried to kill,1,tried to kill yourself,1,well is there some,1,is there some way,1,there some way you,1,some way you can,1,way you can prove,1,you can prove youre,1,can prove youre not,1,you tried to kill yourself,1,well is there some way,1,is there some way you,1,there some way you can,1,some way you can prove,1,way you can prove youre,1,you can prove youre not,1,can prove youre not a,1,prove youre not a threat,1,youre not a threat to,1
annie,theyre,3,think,3,good,2,guys,2,hepatitis,2,new,2,ah,1,okay,1,oh,1,sitting,1,i think theyre,2,think theyre just,2,oh good for,1,good for you,1,were sitting ducks,1,whispering to morty,1,to morty you,1,morty you can,1,you can put,1,can put your,1,i think theyre just,2,oh good for you,1,whispering to morty you,1,to morty you can,1,morty you can put,1,you can put your,1,can put your fingers,1,put your fingers wherever,1,your fingers wherever you,1,fingers wherever you want,1,whispering to morty you can,1,to morty you can put,1,morty you can put your,1,you can put your fingers,1,can put your fingers wherever,1,put your fingers wherever you,1,your fingers wherever you want,1,if itll get us out,1,itll get us out of,1,get us out of here,1
announcer,roy,4,get,4,got,4,janmichael,3,vincents,3,only,3,parsons,2,chitz,2,uh,2,one,2,get on over,2,the glarp zone,2,glarp zone is,2,zone is for,2,is for flarping,2,for flarping and,2,flarping and unglarping,2,and unglarping only,2,spiraling perfectly its,1,perfectly its gonna,1,the glarp zone is,2,glarp zone is for,2,zone is for flarping,2,is for flarping and,2,for flarping and unglarping,2,flarping and unglarping only,2,spiraling perfectly its gonna,1,perfectly its gonna be,1,its gonna be caught,1,gonna be caught by,1,the glarp zone is for,2,glarp zone is for flarping,2,zone is for flarping and,2,is for flarping and unglarping,2,for flarping and unglarping only,2,spiraling perfectly its gonna be,1,perfectly its gonna be caught,1,its gonna be caught by,1,gonna be caught by roy,1,be caught by roy parsons,1
army general,go,3,10,2,seconds,1,get,1,ship,1,eight,1,seven,1,six,1,five,1,holy,1,go go go,1,you have 10,1,have 10 seconds,1,10 seconds to,1,seconds to get,1,to get out,1,get out of,1,out of the,1,of the ship,1,the ship 10,1,you have 10 seconds,1,have 10 seconds to,1,10 seconds to get,1,seconds to get out,1,to get out of,1,get out of the,1,out of the ship,1,of the ship 10,1,the ship 10 9,1,all right thats it,1,you have 10 seconds to,1,have 10 seconds to get,1,10 seconds to get out,1,seconds to get out of,1,to get out of the,1,get out of the ship,1,out of the ship 10,1,of the ship 10 9,1,all right thats it move,1,right thats it move out,1
arthricia,get,6,oh,5,dont,4,festival,4,help,3,back,3,want,3,feels,3,good,3,somebody,2,it feels good,3,end the festival,2,dont want to,2,oh it feels,2,i have a,2,have a boyfriend,2,get away from,1,away from me,1,from me no,1,me no no,1,oh it feels good,2,i have a boyfriend,2,get away from me,1,away from me no,1,from me no no,1,me no no help,1,no no help somebody,1,no help somebody help,1,help somebody help me,1,somebody help me aah,1,get away from me no,1,away from me no no,1,from me no no help,1,me no no help somebody,1,no no help somebody help,1,no help somebody help me,1,help somebody help me aah,1,yes i have to find,1,i have to find somewhere,1,have to find somewhere to,1
beta-7,unity,3,classified,2,hostile,2,entity,2,bad,1,time,1,present,1,lifeforms,1,assimilated,1,rick,1,classified as a,2,as a hostile,2,a hostile entity,2,unity is it,1,is it a,1,it a bad,1,a bad time,1,bad time are,1,time are all,1,are all present,1,classified as a hostile,2,as a hostile entity,2,unity is it a,1,is it a bad,1,it a bad time,1,a bad time are,1,bad time are all,1,time are all present,1,are all present lifeforms,1,all present lifeforms assimilated,1,classified as a hostile entity,2,unity is it a bad,1,is it a bad time,1,it a bad time are,1,a bad time are all,1,bad time are all present,1,time are all present lifeforms,1,are all present lifeforms assimilated,1,rick sanchez unity has spoken,1,sanchez unity has spoken of,1
beth,jerry,61,dad,46,dont,44,oh,37,not,36,youre,35,know,31,okay,28,morty,23,thats,22,i dont know,7,what do you,6,what are you,6,what the hell,5,are you okay,4,supposed to be,4,do you see,4,morty are you,3,we have to,3,to have you,3,jerry get a job,2,i squanch my family,2,what the hell is,2,morty are you okay,2,dad what do you,2,please dont do this,2,what are you doing,2,you cling and you,2,cling and you cling,2,open the door open,2,you cling and you cling,2,open the door open the,2,the door open the door,2,do you want me to,2,you want me to be,2,no hold on stay courier,1,hold on stay courier flaps,1,dad you have a friend,1,you have a friend thats,1,have a friend thats getting,1
big morty,cop,8,morty,7,rick,4,bad,2,mortys,2,about,2,both,2,ah,1,bubblah,1,howd,1,ah bubblah howd,1,bubblah howd it,1,howd it go,1,it go with,1,go with the,1,with the mortytown,1,the mortytown locos,1,those were bad,1,were bad mortys,1,bad mortys very,1,ah bubblah howd it,1,bubblah howd it go,1,howd it go with,1,it go with the,1,go with the mortytown,1,with the mortytown locos,1,those were bad mortys,1,were bad mortys very,1,bad mortys very bad,1,mortys very bad mortys,1,ah bubblah howd it go,1,bubblah howd it go with,1,howd it go with the,1,it go with the mortytown,1,go with the mortytown locos,1,those were bad mortys very,1,were bad mortys very bad,1,bad mortys very bad mortys,1,mortys very bad mortys snaps,1,very bad mortys snaps his,1
birdperson,tammy,5,morty,5,rick,4,know,4,am,3,birdperson,3,means,3,believe,2,gun,2,help,2,to abandon rick,2,tammy what are,1,what are you,1,are you doing,1,you doing here,1,you appear to,1,appear to be,1,to be dying,1,be dying i,1,dying i will,1,tammy what are you,1,what are you doing,1,are you doing here,1,you appear to be,1,appear to be dying,1,to be dying i,1,be dying i will,1,dying i will make,1,i will make efforts,1,will make efforts to,1,tammy what are you doing,1,what are you doing here,1,you appear to be dying,1,appear to be dying i,1,to be dying i will,1,be dying i will make,1,dying i will make efforts,1,i will make efforts to,1,will make efforts to prevent,1,make efforts to prevent this,1
blim blam,am,3,rick,3,cure,3,know,3,uh,2,blim,2,blam,2,babies,2,planet,2,disease,2,to this planet,2,the two of,2,two of you,2,um first of,1,first of all,1,of all hello,1,all hello uh,1,hello uh my,1,uh my name,1,my name is,1,the two of you,2,um first of all,1,first of all hello,1,of all hello uh,1,all hello uh my,1,hello uh my name,1,uh my name is,1,my name is blim,1,name is blim blam,1,is blim blam the,1,um first of all hello,1,first of all hello uh,1,of all hello uh my,1,all hello uh my name,1,hello uh my name is,1,uh my name is blim,1,my name is blim blam,1,name is blim blam the,1,is blim blam the korblok,1,blim blam the korblok second,1
