name,1_01_Pilot_lines,1_01_Pilot_words,1_02_Lawnmower_Dog_lines,1_02_Lawnmower_Dog_words,1_03_Anatomy_Park_lines,1_03_Anatomy_Park_words,1_04_M._Night_Shaym-Aliens!_lines,1_04_M._Night_Shaym-Aliens!_words,1_05_Meeseeks_and_Destroy_lines,1_05_Meeseeks_and_Destroy_words,1_06_Rick_Potion_No._9_lines,1_06_Rick_Potion_No._9_words,1_07_Raising_Gazorpazorp_lines,1_07_Raising_Gazorpazorp_words,1_08_Rixty_Minutes_lines,1_08_Rixty_Minutes_words,1_09_Something_Ricked_This_Way_Comes_lines,1_09_Something_Ricked_This_Way_Comes_words,1_10_Close_Rick-Counters_of_the_Rick_Kind_lines,1_10_Close_Rick-Counters_of_the_Rick_Kind_words,1_11_Ricksy_Business_lines,1_11_Ricksy_Business_words,2_12_A_Rickle_in_Time_lines,2_12_A_Rickle_in_Time_words,2_13_Mortynight_Run_lines,2_13_Mortynight_Run_words,2_14_Auto_Erotic_Assimilation_lines,2_14_Auto_Erotic_Assimilation_words,2_15_Total_Rickall_lines,2_15_Total_Rickall_words,2_16_Get_Schwifty_lines,2_16_Get_Schwifty_words,2_17_The_Ricks_Must_Be_Crazy_lines,2_17_The_Ricks_Must_Be_Crazy_words,2_18_Big_Trouble_in_Little_Sanchez_lines,2_18_Big_Trouble_in_Little_Sanchez_words,2_19_Interdimensional_Cable_2_Tempting_Fate_lines,2_19_Interdimensional_Cable_2_Tempting_Fate_words,2_20_Look_Who's_Purging_Now_lines,2_20_Look_Who's_Purging_Now_words,2_21_The_Wedding_Squanchers_lines,2_21_The_Wedding_Squanchers_words,3_22_The_Rickshank_Rickdemption_lines,3_22_The_Rickshank_Rickdemption_words,3_23_Rickmancing_the_Stone_lines,3_23_Rickmancing_the_Stone_words,3_24_Pickle_Rick_lines,3_24_Pickle_Rick_words,3_25_Vindicators_3_The_Return_of_Worldender_lines,3_25_Vindicators_3_The_Return_of_Worldender_words,3_26_The_Whirly_Dirly_Conspiracy_lines,3_26_The_Whirly_Dirly_Conspiracy_words,3_27_Rest_and_Ricklaxation_lines,3_27_Rest_and_Ricklaxation_words,3_28_The_Ricklantis_Mixup_lines,3_28_The_Ricklantis_Mixup_words,3_29_Morty's_Mind_Blowers_lines,3_29_Morty's_Mind_Blowers_words,3_30_The_ABC's_of_Beth_lines,3_30_The_ABC's_of_Beth_words,3_31_The_Rickchurian_Mortydate_lines,3_31_The_Rickchurian_Mortydate_words
beth,24,286,5,30,12,91,1,20,24,277,20,304,17,154,24,293,1,21,11,71,16,231,32,251,0,0,23,287,32,298,22,182,0,0,11,103,25,318,2,17,13,122,12,180,18,97,34,467,1,17,5,296,4,26,0,0,3,17,21,244,21,427
jerry,29,485,26,316,28,369,36,584,32,319,29,346,21,184,44,539,47,581,25,277,27,384,25,432,38,326,25,320,27,280,14,212,0,0,18,148,43,594,34,255,13,186,13,186,11,82,0,0,0,0,35,698,0,0,0,0,0,0,16,322,10,306
morty,76,907,57,463,47,367,58,461,44,666,44,699,45,723,26,391,34,373,32,402,61,672,24,203,39,340,26,252,25,331,34,307,48,542,6,113,18,269,86,850,11,79,46,619,48,611,21,210,60,658,3,73,86,1285,10,112,20,315,11,92,38,332
rick,81,2569,72,1256,48,764,65,1125,53,817,46,1541,57,1046,44,831,67,749,71,1190,67,1074,24,507,67,1377,66,992,62,1240,45,572,97,1307,17,430,30,371,107,1682,25,387,70,1100,68,909,8,77,80,1248,36,758,77,1245,10,177,13,260,20,524,85,1321
summer,8,106,20,158,12,94,0,0,7,55,13,164,35,521,21,252,51,503,1,1,30,292,17,132,0,0,39,357,28,249,13,222,25,127,9,147,13,80,30,200,6,38,33,383,43,504,7,88,1,15,2,36,2,6,0,0,1,9,14,129,8,71
