episode,char1,char2,count
Close_Rick-Counters_of_the_Rick_Kind.txt,morty doll,rick,1
Close_Rick-Counters_of_the_Rick_Kind.txt,morty doll,rick salesman 1,1
Close_Rick-Counters_of_the_Rick_Kind.txt,morty doll,rick salesman 2,1
Close_Rick-Counters_of_the_Rick_Kind.txt,morty doll,rick salseman 3,1
Close_Rick-Counters_of_the_Rick_Kind.txt,rick,rick salesman 1,1
Close_Rick-Counters_of_the_Rick_Kind.txt,rick,rick salesman 2,1
Close_Rick-Counters_of_the_Rick_Kind.txt,rick,rick salseman 3,1
Close_Rick-Counters_of_the_Rick_Kind.txt,rick salesman 1,rick salesman 2,1
Close_Rick-Counters_of_the_Rick_Kind.txt,rick salesman 1,rick salseman 3,1
Close_Rick-Counters_of_the_Rick_Kind.txt,rick salesman 2,rick salseman 3,1
Close_Rick-Counters_of_the_Rick_Kind.txt,crowd rick,rick,1
Close_Rick-Counters_of_the_Rick_Kind.txt,crowd rick,rick 1,1
Close_Rick-Counters_of_the_Rick_Kind.txt,crowd rick,rick council 1,1
Close_Rick-Counters_of_the_Rick_Kind.txt,crowd rick,rick crowd,1
Close_Rick-Counters_of_the_Rick_Kind.txt,rick,rick council 1,1
Close_Rick-Counters_of_the_Rick_Kind.txt,rick,rick crowd,1
Close_Rick-Counters_of_the_Rick_Kind.txt,rick 1,rick council 1,1
Close_Rick-Counters_of_the_Rick_Kind.txt,rick 1,rick crowd,1
Close_Rick-Counters_of_the_Rick_Kind.txt,rick council 1,rick crowd,1
Close_Rick-Counters_of_the_Rick_Kind.txt,armed rick 1,armed rick 2,1
Close_Rick-Counters_of_the_Rick_Kind.txt,armed rick 1,armed rick 3,1
Close_Rick-Counters_of_the_Rick_Kind.txt,armed rick 1,armed ricks 4 and 5,1
Close_Rick-Counters_of_the_Rick_Kind.txt,armed rick 1,morty,1
Close_Rick-Counters_of_the_Rick_Kind.txt,armed rick 2,armed rick 3,1
Close_Rick-Counters_of_the_Rick_Kind.txt,armed rick 2,armed ricks 4 and 5,1
Close_Rick-Counters_of_the_Rick_Kind.txt,armed rick 2,morty,1
Close_Rick-Counters_of_the_Rick_Kind.txt,armed rick 3,armed ricks 4 and 5,1
Close_Rick-Counters_of_the_Rick_Kind.txt,armed rick 3,morty,1
Close_Rick-Counters_of_the_Rick_Kind.txt,armed ricks 4 and 5,morty,1
Close_Rick-Counters_of_the_Rick_Kind.txt,pizza 1,pizza 2,1
Close_Rick-Counters_of_the_Rick_Kind.txt,phone 1,phone 2,1
Close_Rick-Counters_of_the_Rick_Kind.txt,armed rick 6,armed ricks,1
Close_Rick-Counters_of_the_Rick_Kind.txt,morty,sofa 1,1
Close_Rick-Counters_of_the_Rick_Kind.txt,morty,sofa 2,1
Close_Rick-Counters_of_the_Rick_Kind.txt,rick,sofa 1,1
Close_Rick-Counters_of_the_Rick_Kind.txt,rick,sofa 2,1
Close_Rick-Counters_of_the_Rick_Kind.txt,sofa 1,sofa 2,1
Close_Rick-Counters_of_the_Rick_Kind.txt,all ricks,beth,2
Close_Rick-Counters_of_the_Rick_Kind.txt,all ricks,jerry,2
Close_Rick-Counters_of_the_Rick_Kind.txt,all ricks,rick,1
Close_Rick-Counters_of_the_Rick_Kind.txt,all ricks,rick 1,2
Close_Rick-Counters_of_the_Rick_Kind.txt,all ricks,rick 2,2
Close_Rick-Counters_of_the_Rick_Kind.txt,all ricks,rick 3,1
Close_Rick-Counters_of_the_Rick_Kind.txt,all ricks,rick 4,1
Close_Rick-Counters_of_the_Rick_Kind.txt,beth,rick 2,2
Close_Rick-Counters_of_the_Rick_Kind.txt,beth,rick 3,1
Close_Rick-Counters_of_the_Rick_Kind.txt,beth,rick 4,1
Close_Rick-Counters_of_the_Rick_Kind.txt,jerry,rick 2,2
Close_Rick-Counters_of_the_Rick_Kind.txt,jerry,rick 3,1
Close_Rick-Counters_of_the_Rick_Kind.txt,jerry,rick 4,1
Close_Rick-Counters_of_the_Rick_Kind.txt,rick,rick 2,2
Close_Rick-Counters_of_the_Rick_Kind.txt,rick,rick 3,1
Close_Rick-Counters_of_the_Rick_Kind.txt,rick,rick 4,1
Close_Rick-Counters_of_the_Rick_Kind.txt,rick 1,rick 2,4
Close_Rick-Counters_of_the_Rick_Kind.txt,rick 1,rick 3,1
Close_Rick-Counters_of_the_Rick_Kind.txt,rick 1,rick 4,1
Close_Rick-Counters_of_the_Rick_Kind.txt,rick 2,rick 3,1
Close_Rick-Counters_of_the_Rick_Kind.txt,rick 2,rick 4,1
Close_Rick-Counters_of_the_Rick_Kind.txt,rick 3,rick 4,1
Close_Rick-Counters_of_the_Rick_Kind.txt,chair waiter,morty,1
Close_Rick-Counters_of_the_Rick_Kind.txt,chair waiter,phone waiter,1
Close_Rick-Counters_of_the_Rick_Kind.txt,chair waiter,rick,1
Close_Rick-Counters_of_the_Rick_Kind.txt,chair waiter,rick 1,1
Close_Rick-Counters_of_the_Rick_Kind.txt,chair waiter,rick 2,1
Close_Rick-Counters_of_the_Rick_Kind.txt,morty,phone waiter,1
Close_Rick-Counters_of_the_Rick_Kind.txt,morty,rick 2,1
Close_Rick-Counters_of_the_Rick_Kind.txt,phone waiter,rick,1
Close_Rick-Counters_of_the_Rick_Kind.txt,phone waiter,rick 1,1
Close_Rick-Counters_of_the_Rick_Kind.txt,phone waiter,rick 2,1
Close_Rick-Counters_of_the_Rick_Kind.txt,all ricks,doofus rick,1
Close_Rick-Counters_of_the_Rick_Kind.txt,all ricks,rick 1 and 2,1
Close_Rick-Counters_of_the_Rick_Kind.txt,beth,doofus rick,1
Close_Rick-Counters_of_the_Rick_Kind.txt,beth,rick 1 and 2,1
Close_Rick-Counters_of_the_Rick_Kind.txt,doofus rick,jerry,3
Close_Rick-Counters_of_the_Rick_Kind.txt,doofus rick,rick 1,3
Close_Rick-Counters_of_the_Rick_Kind.txt,doofus rick,rick 1 and 2,1
Close_Rick-Counters_of_the_Rick_Kind.txt,doofus rick,rick 2,2
Close_Rick-Counters_of_the_Rick_Kind.txt,jerry,rick 1 and 2,1
