name,s1_lines,s1_words,s1_eps,s2_lines,s2_words,s2_eps,s3_lines,s3_words,s3_eps,all_lines,all_words,all_eps,1_01_Pilot_lines,1_01_Pilot_words,1_02_Lawnmower_Dog_lines,1_02_Lawnmower_Dog_words,1_03_Anatomy_Park_lines,1_03_Anatomy_Park_words,1_04_M._Night_Shaym-Aliens!_lines,1_04_M._Night_Shaym-Aliens!_words,1_05_Meeseeks_and_Destroy_lines,1_05_Meeseeks_and_Destroy_words,1_06_Rick_Potion_No._9_lines,1_06_Rick_Potion_No._9_words,1_07_Raising_Gazorpazorp_lines,1_07_Raising_Gazorpazorp_words,1_08_Rixty_Minutes_lines,1_08_Rixty_Minutes_words,1_09_Something_Ricked_This_Way_Comes_lines,1_09_Something_Ricked_This_Way_Comes_words,1_10_Close_Rick-Counters_of_the_Rick_Kind_lines,1_10_Close_Rick-Counters_of_the_Rick_Kind_words,1_11_Ricksy_Business_lines,1_11_Ricksy_Business_words,2_12_A_Rickle_in_Time_lines,2_12_A_Rickle_in_Time_words,2_13_Mortynight_Run_lines,2_13_Mortynight_Run_words,2_14_Auto_Erotic_Assimilation_lines,2_14_Auto_Erotic_Assimilation_words,2_15_Total_Rickall_lines,2_15_Total_Rickall_words,2_16_Get_Schwifty_lines,2_16_Get_Schwifty_words,2_17_The_Ricks_Must_Be_Crazy_lines,2_17_The_Ricks_Must_Be_Crazy_words,2_18_Big_Trouble_in_Little_Sanchez_lines,2_18_Big_Trouble_in_Little_Sanchez_words,2_19_Interdimensional_Cable_2_Tempting_Fate_lines,2_19_Interdimensional_Cable_2_Tempting_Fate_words,2_20_Look_Who's_Purging_Now_lines,2_20_Look_Who's_Purging_Now_words,2_21_The_Wedding_Squanchers_lines,2_21_The_Wedding_Squanchers_words,3_22_The_Rickshank_Rickdemption_lines,3_22_The_Rickshank_Rickdemption_words,3_23_Rickmancing_the_Stone_lines,3_23_Rickmancing_the_Stone_words,3_24_Pickle_Rick_lines,3_24_Pickle_Rick_words,3_25_Vindicators_3_The_Return_of_Worldender_lines,3_25_Vindicators_3_The_Return_of_Worldender_words,3_26_The_Whirly_Dirly_Conspiracy_lines,3_26_The_Whirly_Dirly_Conspiracy_words,3_27_Rest_and_Ricklaxation_lines,3_27_Rest_and_Ricklaxation_words,3_28_The_Ricklantis_Mixup_lines,3_28_The_Ricklantis_Mixup_words,3_29_Morty's_Mind_Blowers_lines,3_29_Morty's_Mind_Blowers_words,3_30_The_ABC's_of_Beth_lines,3_30_The_ABC's_of_Beth_words,3_31_The_Rickchurian_Mortydate_lines,3_31_The_Rickchurian_Mortydate_words
all summers,0,0,0,10,52,1,0,0,0,10,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annie,23,135,1,0,0,0,0,0,0,23,135,1,0,0,0,0,23,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
announcer,13,435,2,11,199,3,1,27,1,25,661,6,2,18,0,0,0,0,0,0,0,0,0,0,0,0,11,417,0,0,0,0,0,0,0,0,2,94,0,0,0,0,0,0,0,0,0,0,8,101,1,4,0,0,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0
army general,0,0,0,8,27,1,0,0,0,8,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arthricia,0,0,0,30,274,1,0,0,0,30,274,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beta-7,0,0,0,8,60,1,0,0,0,8,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beth,155,1609,11,160,1505,8,119,1742,9,434,4856,28,24,256,5,30,12,91,1,17,24,270,20,282,17,149,24,255,1,18,11,70,16,171,32,251,0,0,23,283,32,252,22,175,0,0,11,102,25,318,2,17,13,107,12,170,18,95,34,462,1,12,5,295,4,25,0,0,3,17,21,242,21,424
big morty,0,0,0,0,0,0,7,97,1,7,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,97,0,0,0,0,0,0
birdperson,15,176,1,11,170,2,1,3,1,27,349,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,176,0,0,0,0,0,0,0,0,8,161,0,0,0,0,0,0,0,0,3,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blim blam,0,0,0,6,227,1,0,0,0,6,227,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
both ricks,0,0,0,10,168,1,0,0,0,10,168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brad,17,150,2,0,0,0,0,0,0,17,150,2,0,0,0,0,0,0,0,0,0,0,10,102,0,0,0,0,0,0,0,0,7,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
business man,3,26,1,3,17,1,0,0,0,6,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
campaign manager morty,0,0,0,0,0,0,12,132,1,12,132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,132,0,0,0,0,0,0
candidate morty,0,0,0,0,0,0,20,308,1,20,308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,308,0,0,0,0,0,0
comedian,0,0,0,6,105,1,0,0,0,6,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cop morty,0,0,0,0,0,0,34,434,1,34,434,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,434,0,0,0,0,0,0
cop rick,0,0,0,0,0,0,26,238,1,26,238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,238,0,0,0,0,0,0
cornvelious daniel,0,0,0,0,0,0,25,289,1,25,289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cromulon,0,0,0,10,144,1,0,0,0,10,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crowd,3,6,1,0,0,0,3,3,1,6,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
doofus rick,18,287,1,0,0,0,0,0,0,18,287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dr. bloom,31,463,1,0,0,0,0,0,0,31,463,1,0,0,0,0,31,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dr. wong,0,0,0,0,0,0,21,491,1,21,491,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drunk rick,0,0,0,0,0,0,22,562,1,22,562,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,562,0,0,0,0,0,0,0,0,0,0,0,0
eli,0,0,0,0,0,0,6,46,1,6,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ethan,10,99,1,2,13,1,0,0,0,12,112,2,0,0,0,0,10,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evil rick,14,219,1,0,0,0,0,0,0,14,219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eyehole man,0,0,0,7,52,1,0,0,0,7,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fake doors salesman,6,205,1,0,0,0,0,0,0,6,205,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fart,0,0,0,25,393,1,0,0,0,25,393,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fat morty,0,0,0,0,0,0,7,132,1,7,132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,132,0,0,0,0,0,0
flippynips,11,175,1,0,0,0,0,0,0,11,175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frankenstein,0,0,0,7,70,1,0,0,0,7,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gearhead,5,63,1,5,100,1,0,0,0,10,163,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,63,0,0,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glasses morty,0,0,0,0,0,0,9,73,1,9,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,73,0,0,0,0,0,0
goldenfold,8,79,1,0,0,0,0,0,0,8,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gromflomite,3,32,1,4,29,1,0,0,0,7,61,2,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gromflomite worker,0,0,0,0,0,0,7,60,1,7,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guy,1,5,1,6,52,1,0,0,0,7,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hemorrhage,0,0,0,0,0,0,28,249,1,28,249,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ice-t,0,0,0,13,241,1,0,0,0,13,241,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacob,14,165,1,0,0,0,0,0,0,14,165,1,0,0,0,0,14,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jaguar,0,0,0,0,0,0,7,85,1,7,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jerry,344,3977,11,237,2572,9,85,1496,5,666,8045,25,29,412,26,286,28,366,36,560,32,307,29,284,21,174,44,507,47,575,25,266,27,240,25,432,38,312,25,320,27,256,14,204,0,0,18,147,43,480,34,249,13,172,13,155,11,82,0,0,0,0,35,682,0,0,0,0,0,0,16,271,10,306
jerry-sitter,0,0,0,6,57,1,0,0,0,6,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jessica,26,222,4,0,0,0,16,163,1,42,385,5,8,78,0,0,0,0,3,35,0,0,8,59,0,0,0,0,0,0,0,0,7,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,163,0,0,0,0,0,0,0,0
kiara,0,0,0,0,0,0,7,66,1,7,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,66,0,0
kyle,0,0,0,6,119,1,0,0,0,6,119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
large man,0,0,0,6,48,1,0,0,0,6,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leonard,6,122,1,0,0,0,0,0,0,6,122,1,0,0,0,0,6,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lighthouse keeper,0,0,0,20,314,1,0,0,0,20,314,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lizard morty,0,0,0,0,0,0,11,110,1,11,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,110,0,0,0,0,0,0
lucy,19,215,1,0,0,0,0,0,0,19,215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
man,1,3,1,12,119,3,2,37,1,15,159,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,2,40,0,0,0,0,8,65,0,0,0,0,0,0,0,0,0,0,0,0,2,37,0,0,0,0,0,0,0,0
mechanical morty,0,0,0,0,0,0,9,182,1,9,182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mechanical summer,0,0,0,0,0,0,8,61,1,8,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meeseeks,23,262,1,0,0,0,0,0,0,23,262,1,0,0,0,0,0,0,0,0,23,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meeseeks *,9,93,1,0,0,0,0,0,0,9,93,1,0,0,0,0,0,0,0,0,9,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meeseeks 3,11,128,1,0,0,0,0,0,0,11,128,1,0,0,0,0,0,0,0,0,11,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
million ants,0,0,0,0,0,0,15,120,1,15,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,120,0,0,0,0,0,0,0,0,0,0,0,0
morty,524,5594,11,317,3213,10,343,3965,10,1184,12772,31,76,626,57,461,47,367,58,447,44,643,44,629,45,705,26,374,34,354,32,400,61,588,24,203,39,340,26,248,25,317,34,277,48,538,6,111,18,267,86,833,11,79,46,607,48,599,21,209,60,565,3,72,86,1113,10,104,20,272,11,92,38,332
morty 1,1,22,1,7,47,1,2,32,1,10,101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,7,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,0,0,0,0,0,0
morty 2,1,8,1,10,54,1,3,27,1,14,89,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,10,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0,0,0
