speaker,listener,3gram_phrase,3gram_count,4gram_phrase,4gram_count,5gram_phrase,5gram_count
all ricks,morty 2,what the hell,2,the two of you,2,what the hell is wrong,1
all ricks,"morty 2, 3 and 4",expect you to,2,expect you to understand,2,oh god my head what,1
all ricks,morty 3,expect you to,2,expect you to understand,2,oh god my head what,1
all ricks,rick,she did it,2,expect you to understand,2,ohohoho she did it she,1
all ricks,rick 1,she did it,2,ohohoho she did it,1,ohohoho she did it she,1
all ricks,"rick 1, 2 and 3",expect you to,2,expect you to understand,2,oh god my head what,1
all ricks,rick 2,she did it,2,ohohoho she did it,1,ohohoho she did it she,1
all ricks,rick 3,she did it,2,ohohoho she did it,1,ohohoho she did it she,1
all ricks,rick 4,she did it,2,expect you to understand,2,ohohoho she did it she,1
all ricks,summer,expect you to,2,expect you to understand,2,oh god my head what,1
all ricks,summer 1,what the hell,2,the two of you,2,what the hell is wrong,1
all ricks,"summer 1, 2 and 3",expect you to,2,expect you to understand,2,oh god my head what,1
all ricks,summer 2,what the hell,2,the two of you,2,what the hell is wrong,1
all ricks,summer 2 or 4 after splitting into 4,in the cupboards,2,so in conclusion youre,1,so in conclusion youre both,1
all ricks,summer 4,expect you to,2,expect you to understand,2,oh god my head what,1
all ricks,summers 2 & 3,expect you to,2,expect you to understand,2,oh god my head what,1
all ricks,testicle monster a,expect you to,2,expect you to understand,2,oh god my head what,1
animatronics,annie,food its a,2,singing its a road,1,singing its a road of,1
animatronics,dr. bloom,food its a,2,singing its a road,1,singing its a road of,1
animatronics,morty,food its a,2,singing its a road,1,singing its a road of,1
animatronics,poncho,food its a,2,singing its a road,1,singing its a road of,1
animatronics,roger,food its a,2,singing its a road,1,singing its a road of,1
annie,morty,i think theyre,2,i think theyre just,2,if itll get us out,1
annie,rick,i think theyre,2,i think theyre just,2,whispering to morty you can,1
announcer,alien,the glarp zone,2,the glarp zone is,2,the glarp zone is for,2
announcer,ants-in-my-eyes johnson,in a van,2,its a 45 horsepower,1,its a 45 horsepower with,1
announcer,beth,the glarp zone,2,the glarp zone is,2,the glarp zone is for,2
announcer,beth and summer,in a van,2,its a 45 horsepower,1,its a 45 horsepower with,1
announcer,fake doors salesman,uh uh uh,2,its saturday night live,1,its saturday night live starring,1
announcer,glenn,the glarp zone,2,the glarp zone is,2,the glarp zone is for,2
announcer,gromflomite,the glarp zone,2,the glarp zone is,2,the glarp zone is for,2
announcer,gromfomite,the glarp zone,2,the glarp zone is,2,the glarp zone is for,2
announcer,jerry,the glarp zone,2,the glarp zone is,2,the glarp zone is for,2
announcer,jessica,the glarp zone,2,the glarp zone is,2,the glarp zone is for,2
announcer,johnny depp,in a van,2,its a 45 horsepower,1,its a 45 horsepower with,1
announcer,morty,the glarp zone,2,the glarp zone is,2,the glarp zone is for,2
announcer,mr. sneezy 3d,in a van,2,its a 45 horsepower,1,its a 45 horsepower with,1
announcer,other gromflomite,the glarp zone,2,the glarp zone is,2,the glarp zone is for,2
announcer,rick,the glarp zone,2,the glarp zone is,2,the glarp zone is for,2
announcer,summer,the glarp zone,2,the glarp zone is,2,the glarp zone is for,2
ants-in-my-eyes johnson,announcer,im antsinmyeyes johnson,2,im antsinmyeyes johnson here,1,im antsinmyeyes johnson here at,1
ants-in-my-eyes johnson,beth,im antsinmyeyes johnson,2,im antsinmyeyes johnson here,1,im antsinmyeyes johnson here at,1
ants-in-my-eyes johnson,beth and summer,im antsinmyeyes johnson,2,im antsinmyeyes johnson here,1,im antsinmyeyes johnson here at,1
ants-in-my-eyes johnson,jerry,im antsinmyeyes johnson,2,im antsinmyeyes johnson here,1,im antsinmyeyes johnson here at,1
ants-in-my-eyes johnson,johnny depp,im antsinmyeyes johnson,2,im antsinmyeyes johnson here,1,im antsinmyeyes johnson here at,1
ants-in-my-eyes johnson,morty,im antsinmyeyes johnson,2,im antsinmyeyes johnson here,1,im antsinmyeyes johnson here at,1
ants-in-my-eyes johnson,mr. sneezy 3d,im antsinmyeyes johnson,2,im antsinmyeyes johnson here,1,im antsinmyeyes johnson here at,1
ants-in-my-eyes johnson,rick,im antsinmyeyes johnson,2,im antsinmyeyes johnson here,1,im antsinmyeyes johnson here at,1
ants-in-my-eyes johnson,summer,im antsinmyeyes johnson,2,im antsinmyeyes johnson here,1,im antsinmyeyes johnson here at,1
arthricia,large man,i have a,2,i have a boyfriend,2,hey thanks for helping me,1
arthricia,man,i have a,2,i have a boyfriend,2,yes i have to find,1
arthricia,man with glasses,i have a,2,i have a boyfriend,2,hey thanks for helping me,1
arthricia,morty,end the festival,2,i have a boyfriend,2,get away from me no,1
arthricia,rick,it feels good,3,oh it feels good,2,get away from me no,1
balloon man,aide,please help me,2,please help me you,1,please help me you can,1
balloon man,all,please help me,2,please help me you,1,please help me you can,1
balloon man,arbolian meterososian,please help me,2,please help me you,1,please help me you can,1
balloon man,beth,please help me,2,please help me you,1,please help me you can,1
balloon man,birdperson,please help me,2,please help me you,1,please help me you can,1
balloon man,cromulon,please help me,2,please help me you,1,please help me you can,1
balloon man,ethan,please help me,2,please help me you,1,please help me you can,1
balloon man,everyone,please help me,2,please help me you,1,please help me you can,1
balloon man,father bob,please help me,2,please help me you,1,please help me you can,1
balloon man,giant head,please help me,2,please help me you,1,please help me you can,1
balloon man,greebybobe,please help me,2,please help me you,1,please help me you can,1
balloon man,guards,please help me,2,please help me you,1,please help me you can,1
balloon man,ice-t,please help me,2,please help me you,1,please help me you can,1
balloon man,jerry,please help me,2,please help me you,1,please help me you can,1
balloon man,jerry and beth,please help me,2,please help me you,1,please help me you can,1
balloon man,jew,please help me,2,please help me you,1,please help me you can,1
balloon man,jump master,please help me,2,please help me you,1,please help me you can,1
balloon man,morty,please help me,2,please help me you,1,please help me you can,1
balloon man,mr. goldenfold,please help me,2,please help me you,1,please help me you can,1
balloon man,nathan,please help me,2,please help me you,1,please help me you can,1
balloon man,pastor bob,please help me,2,please help me you,1,please help me you can,1
balloon man,president,please help me,2,please help me you,1,please help me you can,1
balloon man,principal vagina,please help me,2,please help me you,1,please help me you can,1
balloon man,rick,please help me,2,please help me you,1,please help me you can,1
balloon man,rick and ice-t,please help me,2,please help me you,1,please help me you can,1
balloon man,rick and morty,please help me,2,please help me you,1,please help me you can,1
balloon man,simon,please help me,2,please help me you,1,please help me you can,1
balloon man,summer,please help me,2,please help me you,1,please help me you can,1
balloon man,tammy,please help me,2,please help me you,1,please help me you can,1
band vocalist / mc haps,brad,flu hatin rapper,3,im a flu hatin,2,im a flu hatin rapper,2
band vocalist / mc haps,jessica,flu hatin rapper,3,im a flu hatin,2,im a flu hatin rapper,2
band vocalist / mc haps,morty,flu hatin rapper,3,im a flu hatin,2,im a flu hatin rapper,2
band vocalist / mc haps,principal vagina,flu hatin rapper,3,im a flu hatin,2,im a flu hatin rapper,2
beta-7,morty,classified as a,2,classified as a hostile,2,classified as a hostile entity,2
beta-7,rick,classified as a,2,classified as a hostile,2,classified as a hostile entity,2
beth,aide,thats my dream,2,please dont do this,2,dad what do you know,1
beth,alien doctor,i dont think,2,i dont care about,1,i dont care about prosthetics,1
beth,all,open the door,3,please dont do this,2,open the door open the,2
beth,all but jerry,i squanch my,2,i squanch my family,2,your language has squanch in,1
beth,all meeseeks,do you want,2,do you want me,2,do you want me to,2
beth,all other meeseeks,do you want,2,do you want me,2,do you want me to,2
beth,all the meeseeks,do you want,2,do you want me,2,do you want me to,2
beth,amish cyborg,open the door,3,open the door open,2,open the door open the,2
beth,announcer,that came out,2,dad how could you,1,dad how could you make,1
beth,ants-in-my-eyes johnson,that came out,2,are we sure we,1,are we sure we want,1
beth,arbolian meterososian,thats my dream,2,please dont do this,2,dad what do you know,1
beth,balloon man,thats my dream,2,please dont do this,2,dad what do you know,1
beth,beth and jerry,you cling and,2,you cling and you,2,you cling and you cling,2
beth,beth and summer,that came out,2,are we sure we,1,are we sure we want,1
beth,birdperson,thats my dream,2,please dont do this,2,dad what do you know,1
beth,blim blam,you cling and,2,you cling and you,2,you cling and you cling,2
beth,card player,do you want,2,do you want me,2,do you want me to,2
beth,cromulon,thats my dream,2,please dont do this,2,dad what do you know,1
beth,cross teddy bear,open the door,3,open the door open,2,open the door open the,2
beth,detective,do you want,2,do you want me,2,do you want me to,2
beth,dr. wong,his work is,2,he got wrapped up,1,he got wrapped up in,1
beth,duck with muscles,open the door,3,open the door open,2,open the door open the,2
beth,ethan,thats my dream,2,please dont do this,2,jerry come on this is,1
beth,everyone,thats my dream,2,please dont do this,2,dad what do you know,1
beth,father bob,thats my dream,2,please dont do this,2,dad what do you know,1
beth,frankenstein,open the door,3,open the door open,2,open the door open the,2
beth,gary,open the door,3,open the door open,2,open the door open the,2
beth,gerry,open the door,3,open the door open,2,open the door open the,2
beth,ghost in a jar,open the door,3,open the door open,2,open the door open the,2
beth,giant,do you want,2,do you want me,2,do you want me to,2
beth,giant head,thats my dream,2,please dont do this,2,dad what do you know,1
beth,giant lawyer,do you want,2,do you want me,2,do you want me to,2
beth,giant woman,do you want,2,do you want me,2,do you want me to,2
beth,greebybobe,thats my dream,2,please dont do this,2,dad what do you know,1
beth,guards,thats my dream,2,please dont do this,2,dad what do you know,1
beth,hamurai,open the door,3,open the door open,2,open the door open the,2
beth,humanoid quest,i squanch my,2,i squanch my family,2,your language has squanch in,1
beth,ice-t,thats my dream,2,please dont do this,2,dad what do you know,1
beth,jerry,i dont know,5,do you want me,2,do you want me to,2
beth,jerry and beth,thats my dream,2,please dont do this,2,dad what do you know,1
beth,jew,thats my dream,2,please dont do this,2,dad what do you know,1
beth,johnny depp,that came out,2,are we sure we,1,are we sure we want,1
beth,judge,do you want,2,do you want me,2,do you want me to,2
beth,jump master,thats my dream,2,please dont do this,2,dad what do you know,1
beth,meeseeks,do you want,2,do you want me,2,do you want me to,2
beth,meeseeks *,do you want,2,do you want me,2,do you want me to,2
beth,meeseeks 1,do you want,2,do you want me,2,do you want me to,2
beth,meeseeks 2,do you want,2,do you want me,2,do you want me to,2
beth,meeseeks 3,do you want,2,do you want me,2,do you want me to,2
beth,meeseeks 4,do you want,2,do you want me,2,do you want me to,2
beth,morty,i dont know,4,do you want me,2,do you want me to,2
beth,mr poopybutthole,open the door,3,open the door open,2,open the door open the,2
beth,mr president,i dont know,2,am i the clone,2,oh come on you look,1
beth,mr. beauregard,open the door,3,open the door open,2,open the door open the,2
beth,mr. booby buyer,do you want,2,do you want me,2,do you want me to,2
beth,mr. goldenfold,whats going on,2,please dont do this,2,dad what do you know,1
beth,mr. jelly bean,do you want,2,do you want me,2,do you want me to,2
beth,mr. poopybutthole,open the door,3,open the door open,2,open the door open the,2
beth,mr. sneezy 3d,that came out,2,are we sure we,1,are we sure we want,1
beth,mrs refrigerator,open the door,3,open the door open,2,open the door open the,2
beth,mrs. refrigerator,open the door,3,open the door open,2,open the door open the,2
beth,nathan,thats my dream,2,please dont do this,2,dad what do you know,1
beth,nazi,open the door,3,open the door open,2,open the door open the,2
beth,new meeseeks,do you want,2,do you want me,2,do you want me to,2
beth,nicky,open the door,3,open the door open,2,open the door open the,2
beth,note,do you want,2,do you want me,2,do you want me to,2
beth,owner,do you want,2,do you want me,2,do you want me to,2
beth,pastor bob,thats my dream,2,please dont do this,2,dad what do you know,1
beth,pencilvester,open the door,3,open the door open,2,open the door open the,2
beth,photography cyborg,i squanch my,2,i squanch my family,2,your language has squanch in,1
beth,pickle rick,we have to,2,its fine i mean,2,morty we have to get,1
beth,president,i dont know,3,please dont do this,2,dad what do you know,1
beth,principal gene v.,do you want,2,do you want me,2,do you want me to,2
beth,principal vagina,thats my dream,2,please dont do this,2,i am not putting my,1
beth,reverse,open the door,3,open the door open,2,open the door open the,2
beth,reverse giraffe,open the door,3,open the door open,2,open the door open the,2
beth,rick,i dont know,5,do you want me,2,do you want me to,2
beth,rick and ice-t,thats my dream,2,please dont do this,2,dad what do you know,1
beth,rick and morty,thats my dream,2,please dont do this,2,dad what do you know,1
beth,samantha,do you want,2,do you want me,2,do you want me to,2
beth,simon,thats my dream,2,please dont do this,2,dad what do you know,1
beth,sleepy gary,open the door,3,open the door open,2,open the door open the,2
beth,slippery,do you want,2,do you want me,2,do you want me to,2
beth,squanchy,i squanch my,2,i squanch my family,2,your language has squanch in,1
beth,summer,i dont know,5,do you want me,2,do you want me to,2
beth,summer and morty,i squanch my,2,i squanch my family,2,57 thankfully youre in a,1
beth,tammy,thats my dream,2,please dont do this,2,dad what do you know,1
beth,the first villager,do you want,2,do you want me,2,do you want me to,2
beth,tinkles,open the door,3,open the door open,2,open the door open the,2
beth,uncle steve,open the door,3,open the door open,2,open the door open the,2
beth,villager,do you want,2,do you want me,2,do you want me to,2
beth,villager 1,do you want,2,do you want me,2,do you want me to,2
beth,villager 2,do you want,2,do you want me,2,do you want me to,2
beth,waiter,do you want,2,do you want me,2,do you want me to,2
beth,waitess,do you want,2,do you want me,2,do you want me to,2
beth,waitress,do you want,2,do you want me,2,do you want me to,2
beth,woman,do you want,2,do you want me,2,do you want me to,2
birdperson,aide,to abandon rick,2,you appear to be,1,you appear to be dying,1
birdperson,all,to abandon rick,2,you appear to be,1,you appear to be dying,1
birdperson,arbolian meterososian,to abandon rick,2,you appear to be,1,you appear to be dying,1
birdperson,balloon man,to abandon rick,2,you appear to be,1,you appear to be dying,1
birdperson,beth,to abandon rick,2,you appear to be,1,you appear to be dying,1
birdperson,cromulon,to abandon rick,2,you appear to be,1,you appear to be dying,1
birdperson,ethan,to abandon rick,2,you appear to be,1,you appear to be dying,1
birdperson,everyone,to abandon rick,2,you appear to be,1,you appear to be dying,1
birdperson,father bob,to abandon rick,2,you appear to be,1,you appear to be dying,1
birdperson,giant head,to abandon rick,2,you appear to be,1,you appear to be dying,1
birdperson,greebybobe,to abandon rick,2,you appear to be,1,you appear to be dying,1
birdperson,guards,to abandon rick,2,you appear to be,1,you appear to be dying,1
birdperson,ice-t,to abandon rick,2,you appear to be,1,you appear to be dying,1
birdperson,jerry,to abandon rick,2,you appear to be,1,you appear to be dying,1
birdperson,jerry and beth,to abandon rick,2,you appear to be,1,you appear to be dying,1
birdperson,jew,to abandon rick,2,you appear to be,1,you appear to be dying,1
birdperson,jump master,to abandon rick,2,you appear to be,1,you appear to be dying,1
birdperson,morty,to abandon rick,2,may i assist you,1,may i assist you with,1
birdperson,mr. goldenfold,to abandon rick,2,you appear to be,1,you appear to be dying,1
birdperson,nathan,to abandon rick,2,you appear to be,1,you appear to be dying,1
birdperson,pastor bob,to abandon rick,2,you appear to be,1,you appear to be dying,1
birdperson,president,to abandon rick,2,you appear to be,1,you appear to be dying,1
birdperson,principal vagina,to abandon rick,2,you appear to be,1,you appear to be dying,1
birdperson,rick,to abandon rick,2,i am pleased there,1,i am pleased there is,1
birdperson,rick and ice-t,to abandon rick,2,you appear to be,1,you appear to be dying,1
birdperson,rick and morty,to abandon rick,2,you appear to be,1,you appear to be dying,1
birdperson,simon,to abandon rick,2,you appear to be,1,you appear to be dying,1
birdperson,summer,to abandon rick,2,the beacon was activated,1,the beacon was activated who,1
birdperson,tammy,to abandon rick,2,they are designed to,1,they are designed to attract,1
blim blam,beth,to this planet,2,the two of you,2,um first of all hello,1
blim blam,beth and jerry,to this planet,2,the two of you,2,um first of all hello,1
blim blam,jerry,to this planet,2,the two of you,2,um first of all hello,1
both,summer,the fact that,3,oh summer its just,1,oh summer its just rick,1
both ricks,all mortys,in both possibilities,2,this is why you,1,this is why you dont,1
both ricks,all mortys and summer 2,in both possibilities,2,this is why you,1,this is why you dont,1
both ricks,all ricks,in both possibilities,2,this is why you,1,this is why you dont,1
both ricks,morty 1,in both possibilities,2,oh god oh no,1,oh god oh no what,1
both ricks,morty 1 & summer 2,in both possibilities,2,this is why you,1,this is why you dont,1
both ricks,morty 2,in both possibilities,2,oh god oh no,1,oh god oh no what,1
both ricks,summer 1,in both possibilities,2,oh god oh no,1,oh god oh no what,1
both ricks,summer 2,in both possibilities,2,oh god oh no,1,oh god oh no what,1
braided rick,commander in chief rick,wait wait wait,2,wait wait wait wait,1,wait wait wait wait tthe,1
braided rick,commander in chief rick/rick,wait wait wait,2,wait wait wait wait,1,wait wait wait wait tthe,1
braided rick,guard rick,wait wait wait,2,wait wait wait wait,1,wait wait wait wait tthe,1
braided rick,lawyer morty,wait wait wait,2,wait wait wait wait,1,wait wait wait wait tthe,1
braided rick,morty,wait wait wait,2,wait wait wait wait,1,wait wait wait wait tthe,1
braided rick,rick /rick,wait wait wait,2,wait wait wait wait,1,wait wait wait wait tthe,1
braided rick,rick/rick,wait wait wait,2,wait wait wait wait,1,wait wait wait wait tthe,1
braided rick,riq iv,wait wait wait,2,wait wait wait wait,1,wait wait wait wait tthe,1
braided rick,speaker system,wait wait wait,2,wait wait wait wait,1,wait wait wait wait tthe,1
braided rick,summer,wait wait wait,2,wait wait wait wait,1,wait wait wait wait tthe,1
braided rick,teleportation worker rick,wait wait wait,2,wait wait wait wait,1,wait wait wait wait tthe,1
braided rick,worker rick,wait wait wait,2,wait wait wait wait,1,wait wait wait wait tthe,1
butter robot,jerry,what is my,2,what is my purpose,2,,0
butter robot,rick,what is my,2,what is my purpose,2,i am not programmed for,1
butter robot,summer,what is my,2,what is my purpose,2,,0
candidate morty,campaign manager morty,ricks and mortys,6,the ricks and mortys,5,the ricks and mortys that,3
candidate morty,father rick,im okay im,2,hey there how you,1,hey there how you doing,1
candidate morty,juggling rick,ricks and mortys,6,the ricks and mortys,5,the ricks and mortys that,3
candidate morty,moderator rick,ricks and mortys,6,the ricks and mortys,5,the ricks and mortys that,3
candidate morty,plumber rick,im okay im,2,hey there how you,1,hey there how you doing,1
candidate morty,retired general rick,ricks and mortys,6,the ricks and mortys,5,the ricks and mortys that,3
candidate morty,reverse rick outrage,ricks and mortys,6,the ricks and mortys,5,the ricks and mortys that,3
candidate morty,rick guilt rick,ricks and mortys,6,the ricks and mortys,5,the ricks and mortys that,3
candidate morty,rick j-22,ricks and mortys,6,the ricks and mortys,5,the ricks and mortys that,3
candidate morty,rick worker,ricks and mortys,6,the ricks and mortys,5,the ricks and mortys that,3
comedian,a man in the audience,ba da ba,2,welcome back to funny,1,welcome back to funny songs,1
cop morty,bearded morty,i want to,2,the creepy morty what,1,the creepy morty what is,1
cop morty,big morty,i want to,2,the creepy morty what,1,the creepy morty what is,1
cop morty,builder hat morty,i want to,2,the creepy morty what,1,the creepy morty what is,1
cop morty,cop rick,call me a,2,call me a sidekick,2,a rick partner lesson one,1
cop morty,cowboy morty,i want to,2,the creepy morty what,1,the creepy morty what is,1
cop morty,morty 1,call me a,2,call me a sidekick,2,sarcastically yeah make sure you,1
cop morty,morty 2,call me a,2,call me a sidekick,2,sarcastically yeah make sure you,1
cop morty,morty bouncers,i want to,2,the creepy morty what,1,the creepy morty what is,1
cop morty,morty bouncers/cop morty,i want to,2,the creepy morty what,1,the creepy morty what is,1
cop morty,morty mart morty,call me a,2,call me a sidekick,2,sarcastically yeah make sure you,1
cop morty,purple trunk morty,call me a,2,call me a sidekick,2,sarcastically yeah make sure you,1
cornvelious daniel,cornvelious daniel/rick,pull me out,2,its a trap abort,2,wow this sauce is fucking,1
cornvelious daniel,gromflomite captain,pull me out,2,its a trap abort,2,wow this sauce is fucking,1
cornvelious daniel,gromflomite worker,pull me out,2,its a trap abort,2,wow this sauce is fucking,1
cornvelious daniel,rick,your brain is,2,its a trap abort,2,man i told the money,1
cornvelious daniel,seal team rick leader,pull me out,2,its a trap abort,2,wow this sauce is fucking,1
cornvelious daniel,young rick,pull me out,2,its a trap abort,2,wow this sauce is fucking,1
cromulon,aide,what you got,3,show me what you,2,show me what you got,2
cromulon,all,what you got,3,show me what you,2,show me what you got,2
cromulon,arbolian meterososian,what you got,3,show me what you,2,show me what you got,2
cromulon,balloon man,what you got,3,show me what you,2,show me what you got,2
cromulon,beth,what you got,3,show me what you,2,show me what you got,2
cromulon,birdperson,what you got,3,show me what you,2,show me what you got,2
cromulon,ethan,what you got,3,show me what you,2,show me what you got,2
cromulon,everyone,what you got,3,show me what you,2,show me what you got,2
cromulon,father bob,what you got,3,show me what you,2,show me what you got,2
cromulon,giant head,what you got,3,show me what you,2,show me what you got,2
cromulon,greebybobe,what you got,3,show me what you,2,show me what you got,2
cromulon,guards,what you got,3,show me what you,2,show me what you got,2
cromulon,ice-t,what you got,3,show me what you,2,show me what you got,2
cromulon,jerry,what you got,3,show me what you,2,show me what you got,2
cromulon,jerry and beth,what you got,3,show me what you,2,show me what you got,2
cromulon,jew,what you got,3,show me what you,2,show me what you got,2
cromulon,jump master,what you got,3,show me what you,2,show me what you got,2
cromulon,morty,what you got,3,show me what you,2,show me what you got,2
cromulon,mr. goldenfold,what you got,3,show me what you,2,show me what you got,2
cromulon,nathan,what you got,3,show me what you,2,show me what you got,2
cromulon,pastor bob,what you got,3,show me what you,2,show me what you got,2
cromulon,president,what you got,3,show me what you,2,show me what you got,2
cromulon,principal vagina,what you got,3,show me what you,2,show me what you got,2
cromulon,rick,what you got,3,show me what you,2,show me what you got,2
cromulon,rick and ice-t,what you got,3,show me what you,2,show me what you got,2
cromulon,rick and morty,what you got,3,show me what you,2,show me what you got,2
cromulon,simon,what you got,3,show me what you,2,show me what you got,2
cromulon,summer,what you got,3,show me what you,2,show me what you got,2
cromulon,tammy,what you got,3,show me what you,2,show me what you got,2
detective,all meeseeks,going down like,2,going down like that,2,hey look we get it,1
detective,all other meeseeks,going down like,2,going down like that,2,hey look we get it,1
detective,all the meeseeks,going down like,2,going down like that,2,hey look we get it,1
detective,beth,going down like,2,going down like that,2,hey look we get it,1
detective,card player,going down like,2,going down like that,2,hey look we get it,1
detective,giant,going down like,2,going down like that,2,hey look we get it,1
detective,giant lawyer,going down like,2,going down like that,2,hey look we get it,1
detective,giant woman,going down like,2,going down like that,2,hey look we get it,1
detective,jerry,going down like,2,going down like that,2,hey look we get it,1
detective,judge,going down like,2,going down like that,2,hey look we get it,1
detective,meeseeks,going down like,2,going down like that,2,hey look we get it,1
detective,meeseeks *,going down like,2,going down like that,2,hey look we get it,1
detective,meeseeks 1,going down like,2,going down like that,2,hey look we get it,1
