name,s1_lines,s1_words,s1_eps,s2_lines,s2_words,s2_eps,s3_lines,s3_words,s3_eps,all_lines,all_words,all_eps
campaign manager morty,0,0,0,0,0,0,12,136,1,12,136,1
candidate morty,0,0,0,0,0,0,20,326,1,20,326,1
captain #1,3,37,1,0,0,0,0,0,0,3,37,1
captain #2,4,64,1,0,0,0,0,0,0,4,64,1
card player,1,9,1,0,0,0,0,0,0,1,9,1
carla,0,0,0,0,0,0,1,8,1,1,8,1
centaur,1,14,1,0,0,0,0,0,0,1,14,1
chair waiter,2,16,1,0,0,0,0,0,0,2,16,1
class,1,1,1,0,0,0,0,0,0,1,1,1
cold stone employee,0,0,0,2,21,1,0,0,0,2,21,1
colossus,0,0,0,0,0,0,2,9,1,2,9,1
comedian,0,0,0,6,114,1,0,0,0,6,114,1
commander in chief rick,0,0,0,0,0,0,2,18,1,2,18,1
commander in chief rick/rick,0,0,0,0,0,0,4,43,1,4,43,1
commercial announcer,1,10,1,0,0,0,0,0,0,1,10,1
concerto,0,0,0,0,0,0,2,21,1,2,21,1
conroy,0,0,0,0,0,0,4,60,1,4,60,1
convelious daniel,0,0,0,0,0,0,2,45,1,2,45,1
cool rick,0,0,0,0,0,0,1,34,1,1,34,1
cop,1,14,1,0,0,0,0,0,0,1,14,1
cop morty,0,0,0,0,0,0,34,453,1,34,453,1
cop rick,0,0,0,0,0,0,26,238,1,26,238,1
cop rick 2,0,0,0,0,0,0,1,5,1,1,5,1
corn man 1,1,9,1,0,0,0,0,0,0,1,9,1
corn man 2,1,12,1,0,0,0,0,0,0,1,12,1
cornvelious daniel,0,0,0,0,0,0,25,326,1,25,326,1
cornvelious daniel/rick,0,0,0,0,0,0,3,89,1,3,89,1
council of rick,0,0,0,0,0,0,1,3,1,1,3,1
council of ricks,0,0,0,0,0,0,1,4,1,1,4,1
council rick 1,2,62,1,0,0,0,0,0,0,2,62,1
courier flap,0,0,0,4,51,1,0,0,0,4,51,1
courier flaps,0,0,0,1,9,1,0,0,0,1,9,1
cowboy morty,0,0,0,0,0,0,2,41,1,2,41,1
credits song,0,0,0,0,0,0,1,75,1,1,75,1
criminal,1,11,1,0,0,0,0,0,0,1,11,1
crocubot,0,0,0,0,0,0,5,44,1,5,44,1
cromulon,0,0,0,10,144,1,0,0,0,10,144,1
cross teddy bear,0,0,0,1,3,1,0,0,0,1,3,1
crowd,3,8,1,0,0,0,3,3,1,6,11,2
crowd rick,1,4,1,0,0,0,0,0,0,1,4,1
crying boy,0,0,0,0,0,0,1,2,1,1,2,1
customer,1,10,1,1,6,1,0,0,0,2,16,2
cynthia,2,23,1,0,0,0,0,0,0,2,23,1
daryl jefferson,0,0,0,2,36,1,0,0,0,2,36,1
davin,5,49,2,0,0,0,0,0,0,5,49,2
daycare beth,0,0,0,4,25,1,0,0,0,4,25,1
death stalker #1,0,0,0,0,0,0,1,3,1,1,3,1
death stalker #2,0,0,0,0,0,0,1,6,1,1,6,1
death stalker #3,0,0,0,0,0,0,1,3,1,1,3,1
death stalker #4,0,0,0,0,0,0,1,3,1,1,3,1
death stalker #5,0,0,0,0,0,0,1,6,1,1,6,1
death stalker #6,0,0,0,0,0,0,1,3,1,1,3,1
death stalker #7,0,0,0,0,0,0,1,1,1,1,1,1
detective,2,43,1,0,0,0,0,0,0,2,43,1
device,0,0,0,2,12,1,0,0,0,2,12,1
diane,0,0,0,0,0,0,2,22,1,2,22,1
dispatch,0,0,0,0,0,0,1,6,1,1,6,1
doctor,0,0,0,2,48,2,0,0,0,2,48,2
dog 1,1,4,1,0,0,0,0,0,0,1,4,1
doofus rick,18,289,1,0,0,0,0,0,0,18,289,1
dr. bloom,31,500,1,0,0,0,0,0,0,31,500,1
dr. dog,1,12,1,0,0,0,0,0,0,1,12,1
dr. glipglop,0,0,0,1,4,1,0,0,0,1,4,1
dr. wong,0,0,0,0,0,0,21,492,1,21,492,1
drunk rick,0,0,0,0,0,0,22,577,1,22,577,1
duck with muscles,0,0,0,1,21,1,0,0,0,1,21,1
eli,0,0,0,0,0,0,6,47,1,6,47,1
eli's girlfriend,0,0,0,0,0,0,2,19,1,2,19,1
employee,1,9,1,0,0,0,0,0,0,1,9,1
eric,1,26,1,0,0,0,0,0,0,1,26,1
ethan,10,100,1,2,18,1,0,0,0,12,118,2
everyone,1,1,1,2,6,1,0,0,0,3,7,2
everyone except morty and jessica,1,10,1,0,0,0,0,0,0,1,10,1
evil morty,3,17,1,0,0,0,0,0,0,3,17,1
evil rick,14,220,1,0,0,0,0,0,0,14,220,1
eyehole man,0,0,0,7,61,1,0,0,0,7,61,1
fake doors salesman,6,243,1,0,0,0,0,0,0,6,243,1
farmer rick,0,0,0,0,0,0,2,49,1,2,49,1
fart,0,0,0,25,462,1,0,0,0,25,462,1
fat morty,0,0,0,0,0,0,7,132,1,7,132,1
father bob,0,0,0,1,37,1,0,0,0,1,37,1
father rick,0,0,0,0,0,0,1,21,1,1,21,1
federation commander,0,0,0,0,0,0,1,9,1,1,9,1
federation worker 1,0,0,0,0,0,0,4,41,1,4,41,1
federation worker 2,0,0,0,0,0,0,1,20,1,1,20,1
federation worker 3,0,0,0,0,0,0,2,11,1,2,11,1
female alien,0,0,0,1,22,1,0,0,0,1,22,1
female hamster,1,3,1,0,0,0,0,0,0,1,3,1
female office employee,0,0,0,0,0,0,1,11,1,1,11,1
female reporter alien,0,0,0,1,17,1,0,0,0,1,17,1
female student,0,0,0,0,0,0,2,9,1,2,9,1
female student 2,0,0,0,0,0,0,1,4,1,1,4,1
female student looking into her mirror,0,0,0,0,0,0,1,11,1,1,11,1
female visitor,0,0,0,2,8,1,0,0,0,2,8,1
female voice,0,0,0,2,4,1,0,0,0,2,4,1
flippynips,11,177,1,0,0,0,0,0,0,11,177,1
frank,3,85,1,0,0,0,0,0,0,3,85,1
frankenstein,0,0,0,7,83,1,0,0,0,7,83,1
froopy soldier,0,0,0,0,0,0,1,23,1,1,23,1
fungo,0,0,0,2,67,1,0,0,0,2,67,1
galactic federation president,0,0,0,0,0,0,3,25,1,3,25,1
garbageman,1,4,1,0,0,0,0,0,0,1,4,1
garblovian,0,0,0,5,27,1,0,0,0,5,27,1
garment district rick,0,0,0,0,0,0,1,49,1,1,49,1
gary,0,0,0,4,29,1,0,0,0,4,29,1
gazorpazorpfield,4,60,1,0,0,0,0,0,0,4,60,1
gazorpian,3,36,1,0,0,0,0,0,0,3,36,1
gazorpian #2,5,133,1,0,0,0,0,0,0,5,133,1
gazorpian pa system,1,41,1,0,0,0,0,0,0,1,41,1
gear anchor,0,0,0,1,41,1,0,0,0,1,41,1
gear citizen,0,0,0,0,0,0,1,3,1,1,3,1
gear girl #1,0,0,0,0,0,0,3,23,1,3,23,1
gear girl #2,0,0,0,0,0,0,1,2,1,1,2,1
gear head,0,0,0,0,0,0,5,60,1,5,60,1
gear policeman #1,0,0,0,2,4,1,0,0,0,2,4,1
gear policeman #2,0,0,0,1,3,1,0,0,0,1,3,1
gearhead,5,67,1,5,100,1,0,0,0,10,167,2
gerry,0,0,0,1,18,1,0,0,0,1,18,1
ghost in a jar,0,0,0,2,14,1,0,0,0,2,14,1
giant,2,25,1,0,0,0,0,0,0,2,25,1
giant frog woman,1,7,1,0,0,0,0,0,0,1,7,1
giant head,0,0,0,4,34,1,0,0,0,4,34,1
giant lawyer,2,67,1,0,0,0,0,0,0,2,67,1
giant woman,1,21,1,0,0,0,0,0,0,1,21,1
girl,1,8,1,0,0,0,0,0,0,1,8,1
glasses morty,0,0,0,0,0,0,9,73,1,9,73,1
glaxo,0,0,0,1,19,1,0,0,0,1,19,1
glenn,2,10,2,0,0,0,0,0,0,2,10,2
goldenfold,8,84,1,0,0,0,0,0,0,8,84,1
good-looking rick,0,0,0,0,0,0,1,4,1,1,4,1
goth creature,0,0,0,0,0,0,1,7,1,1,7,1
grace smith,1,3,1,0,0,0,0,0,0,1,3,1
greebybobe,0,0,0,1,24,1,0,0,0,1,24,1
gribbles,0,0,0,4,25,1,0,0,0,4,25,1
groin system 6000,0,0,0,0,0,0,3,26,1,3,26,1
gromflomite,3,34,1,4,34,1,0,0,0,7,68,2
gromflomite captain,0,0,0,0,0,0,4,28,1,4,28,1
gromflomite guard,0,0,0,0,0,0,1,1,1,1,1,1
gromflomite office employee,0,0,0,0,0,0,1,8,1,1,8,1
gromflomite officer,0,0,0,1,2,1,0,0,0,1,2,1
gromflomite receptionist,0,0,0,2,14,1,0,0,0,2,14,1
gromflomite worker,0,0,0,0,0,0,7,60,1,7,60,1
gromfomite,1,11,1,0,0,0,0,0,0,1,11,1
guard rick,0,0,0,0,0,0,4,68,1,4,68,1
guards,0,0,0,1,11,1,0,0,0,1,11,1
guy,1,9,1,6,52,1,0,0,0,7,61,2
hammer morty,1,6,1,0,0,0,0,0,0,1,6,1
hammerhead morty,0,0,0,0,0,0,1,5,1,1,5,1
hamster news anchor,1,12,1,0,0,0,0,0,0,1,12,1
hamurai,0,0,0,2,11,1,0,0,0,2,11,1
hemmorhage,0,0,0,0,0,0,1,155,1,1,155,1
hemorrhage,0,0,0,0,0,0,28,250,1,28,250,1
holly,0,0,0,0,0,0,3,21,1,3,21,1
host,1,4,1,0,0,0,0,0,0,1,4,1
host in trenchcoat,4,19,1,0,0,0,0,0,0,4,19,1
hostess,2,36,1,0,0,0,0,0,0,2,36,1
human president,0,0,0,4,100,1,0,0,0,4,100,1
humanoid quest,0,0,0,1,1,1,0,0,0,1,1,1
hunter,0,0,0,5,86,1,0,0,0,5,86,1
ice cream clerk,0,0,0,1,15,1,0,0,0,1,15,1
ice-t,0,0,0,13,241,1,0,0,0,13,241,1
intercom,0,0,0,1,14,1,0,0,0,1,14,1
interviewer,2,55,1,0,0,0,0,0,0,2,55,1
investigator rick,0,0,0,0,0,0,2,28,1,2,28,1
jacob,14,172,1,0,0,0,0,0,0,14,172,1
jacquelyn,0,0,0,0,0,0,5,92,1,5,92,1
jaguar,0,0,0,0,0,0,7,85,1,7,85,1
jelly-like creature with items stuck inside of it,1,20,1,0,0,0,0,0,0,1,20,1
jerry,344,4384,11,237,2753,9,85,1594,5,666,8731,25
jerry and beth,0,0,0,1,3,1,0,0,0,1,3,1
jerry and morty,1,3,1,0,0,0,0,0,0,1,3,1
jerry beth and summer,1,3,1,0,0,0,0,0,0,1,3,1
jerry prime,0,0,0,0,0,0,2,14,1,2,14,1
jerry smith prime,0,0,0,0,0,0,1,3,1,1,3,1
jerry-sitter,0,0,0,6,57,1,0,0,0,6,57,1
jerrys,0,0,0,2,6,1,0,0,0,2,6,1
jesica,1,3,1,0,0,0,0,0,0,1,3,1
jessica,26,250,4,0,0,0,16,187,1,42,437,5
jessica on the phone,0,0,0,0,0,0,1,12,1,1,12,1
jew,0,0,0,1,31,1,0,0,0,1,31,1
jim,0,0,0,1,17,1,0,0,0,1,17,1
johnny depp,1,12,1,0,0,0,0,0,0,1,12,1
jon,2,23,1,0,0,0,0,0,0,2,23,1
joyce,5,89,1,0,0,0,0,0,0,5,89,1
judge,3,34,2,0,0,0,0,0,0,3,34,2
juggling rick,0,0,0,0,0,0,4,110,1,4,110,1
jump master,0,0,0,1,22,1,0,0,0,1,22,1
kevin,3,32,1,0,0,0,0,0,0,3,32,1
kiara,0,0,0,0,0,0,7,71,1,7,71,1
kid,0,0,0,5,13,1,0,0,0,5,13,1
kidnapped morty,0,0,0,0,0,0,1,3,1,1,3,1
killer 1,1,14,1,0,0,0,0,0,0,1,14,1
killer 2,1,14,1,0,0,0,0,0,0,1,14,1
killer 3,1,11,1,0,0,0,0,0,0,1,11,1
krombopulos michael,0,0,0,5,99,1,0,0,0,5,99,1
kyle,0,0,0,6,119,1,0,0,0,6,119,1
large man,0,0,0,6,48,1,0,0,0,6,48,1
lawyer,0,0,0,4,111,1,0,0,0,4,111,1
lawyer morty,0,0,0,0,0,0,3,21,1,3,21,1
leash man,0,0,0,0,0,0,1,9,1,1,9,1
leonard,6,147,1,0,0,0,0,0,0,6,147,1
letterman,1,6,1,0,0,0,0,0,0,1,6,1
lighthouse keeper,0,0,0,20,323,1,0,0,0,20,323,1
little girl,4,33,1,0,0,0,0,0,0,4,33,1
lizard morty,0,0,0,0,0,0,11,110,1,11,110,1
lobster alien,4,7,1,0,0,0,0,0,0,4,7,1
logic,0,0,0,0,0,0,5,46,1,5,46,1
lucy,19,272,1,0,0,0,0,0,0,19,272,1
lunch server,0,0,0,0,0,0,1,3,1,1,3,1
magma-q,0,0,0,1,14,1,0,0,0,1,14,1
magnesium-j,0,0,0,5,35,1,0,0,0,5,35,1
mailman,3,10,1,0,0,0,0,0,0,3,10,1
mailmen,1,5,1,0,0,0,0,0,0,1,5,1
male alien 1,0,0,0,1,32,1,0,0,0,1,32,1
male alien with glasses,0,0,0,1,4,1,0,0,0,1,4,1
male hamster,1,5,1,0,0,0,0,0,0,1,5,1
male reporter alien 1,0,0,0,1,16,1,0,0,0,1,16,1
male reporter alien 2,0,0,0,1,17,1,0,0,0,1,17,1
male voice,0,0,0,1,11,1,0,0,0,1,11,1
man,1,3,1,12,123,3,2,97,1,15,223,5
man #1,0,0,0,0,0,0,2,45,1,2,45,1
man #2,0,0,0,0,0,0,1,51,1,1,51,1
man with glasses,0,0,0,3,48,1,0,0,0,3,48,1
man with pitchfork,0,0,0,1,5,1,0,0,0,1,5,1
mar-sha,3,86,1,0,0,0,0,0,0,3,86,1
marine,0,0,0,0,0,0,1,44,1,1,44,1
mcdonald's drive-thru speaker,0,0,0,0,0,0,1,8,1,1,8,1
mechanical morty,0,0,0,0,0,0,9,185,1,9,185,1
mechanical rick,0,0,0,0,0,0,2,11,1,2,11,1
mechanical summer,0,0,0,0,0,0,8,62,1,8,62,1
meeseeks,23,268,1,0,0,0,0,0,0,23,268,1
meeseeks *,9,93,1,0,0,0,0,0,0,9,93,1
meeseeks 1,1,26,1,0,0,0,0,0,0,1,26,1
meeseeks 2,4,52,1,0,0,0,0,0,0,4,52,1
meeseeks 3,11,128,1,0,0,0,0,0,0,11,128,1
meeseeks 4,3,18,1,0,0,0,0,0,0,3,18,1
michael thompson,0,0,0,3,54,1,0,0,0,3,54,1
million ants,0,0,0,0,0,0,15,141,1,15,141,1
mitch,0,0,0,0,0,0,1,20,1,1,20,1
moderator rick,0,0,0,0,0,0,3,55,1,3,55,1
mohawk guy,0,0,0,0,0,0,2,2,1,2,2,1
monster teacher,3,52,1,0,0,0,0,0,0,3,52,1
morty,524,6124,11,317,3286,10,343,4307,10,1184,13717,31
morty & summer,0,0,0,1,2,1,0,0,0,1,2,1
morty 1,1,22,1,7,47,1,2,32,1,10,101,3
morty 1 & 4,0,0,0,1,6,1,0,0,0,1,6,1
morty 1 & summer 2,0,0,0,1,6,1,0,0,0,1,6,1
morty 1 2 and 3,0,0,0,2,6,1,0,0,0,2,6,1
morty 2,1,8,1,10,54,1,3,27,1,14,89,3
morty 2 3 and 4,0,0,0,1,1,1,0,0,0,1,1,1
morty 23,0,0,0,2,15,1,0,0,0,2,15,1
morty 3,0,0,0,1,6,1,0,0,0,1,6,1
morty 30,0,0,0,6,27,1,0,0,0,6,27,1
morty and summer,0,0,0,2,2,1,2,5,2,4,7,3
morty and summer in unison,1,3,1,0,0,0,1,1,1,2,4,2
morty bouncers,0,0,0,0,0,0,1,6,1,1,6,1
morty bouncers/cop morty,0,0,0,0,0,0,1,6,1,1,6,1
morty doll,1,4,1,0,0,0,0,0,0,1,4,1
morty jr,26,270,1,0,0,0,0,0,0,26,270,1
morty k-22,0,0,0,0,0,0,2,23,1,2,23,1
morty mart morty,0,0,0,0,0,0,3,31,1,3,31,1
mortytown loco,0,0,0,0,0,0,2,24,1,2,24,1
mory,0,0,0,1,3,1,0,0,0,1,3,1
mr poopybutthole,0,0,0,1,25,1,0,0,0,1,25,1
mr president,0,0,0,0,0,0,11,225,1,11,225,1
mr. beauregard,0,0,0,8,98,1,0,0,0,8,98,1
mr. booby buyer,2,16,1,0,0,0,0,0,0,2,16,1
mr. goldenfold,25,320,3,7,103,1,6,90,3,38,513,7
mr. jelly bean,7,49,1,0,0,0,0,0,0,7,49,1
mr. lunas,0,0,0,0,0,0,1,29,1,1,29,1
mr. marklevitz,13,54,1,0,0,0,0,0,0,13,54,1
mr. pancakes,1,9,1,0,0,0,0,0,0,1,9,1
mr. poopybutthole,0,0,0,16,289,2,0,0,0,16,289,2
mr. president,0,0,0,2,13,1,0,0,0,2,13,1
mr. slimslom,0,0,0,2,17,1,0,0,0,2,17,1
mr. sneezy 3d,1,5,1,0,0,0,0,0,0,1,5,1
mr. tophat jones,2,176,1,0,0,0,0,0,0,2,176,1
mr.goldenfold,2,10,1,0,0,0,0,0,0,2,10,1
mr.president,0,0,0,9,92,1,0,0,0,9,92,1
mrs refrigerator,0,0,0,2,67,1,0,0,0,2,67,1
mrs. pancakes,8,36,1,0,0,0,1,4,1,9,40,2
mrs. refrigerator,0,0,0,2,8,1,0,0,0,2,8,1
ms mr and rick in unison,0,0,0,0,0,0,1,2,1,1,2,1
muscular mannies,1,2,1,0,0,0,0,0,0,1,2,1
nancy,5,75,1,0,0,0,0,0,0,5,75,1
nano-doctor,0,0,0,1,1,1,0,0,0,1,1,1
narrator,0,0,0,1,116,1,8,188,1,9,304,2
nathan,0,0,0,10,115,1,0,0,0,10,115,1
nazi,0,0,0,2,56,1,0,0,0,2,56,1
needful,39,355,1,0,0,0,0,0,0,39,355,1
negotiator rick,0,0,0,0,0,0,6,95,1,6,95,1
new meeseeks,2,11,1,0,0,0,0,0,0,2,11,1
new yorker,1,11,1,0,0,0,0,0,0,1,11,1
news anchor,1,20,1,0,0,0,0,0,0,1,20,1
nicky,0,0,0,6,96,1,0,0,0,6,96,1
noob-noob,0,0,0,0,0,0,5,34,1,5,34,1
note,1,18,1,0,0,0,1,26,1,2,44,2
nurse,0,0,0,3,3,1,0,0,0,3,3,1
octopus man,0,0,0,2,86,1,0,0,0,2,86,1
off screen student,0,0,0,0,0,0,1,2,1,1,2,1
off screen student 2,0,0,0,0,0,0,1,2,1,1,2,1
officer,0,0,0,2,20,1,0,0,0,2,20,1
officer rick 1,0,0,0,0,0,0,2,21,1,2,21,1
officer rick 2,0,0,0,0,0,0,1,7,1,1,7,1
old alien,0,0,0,1,81,1,0,0,0,1,81,1
old guy,0,0,0,5,36,1,0,0,0,5,36,1
old man,2,4,1,0,0,0,0,0,0,2,4,1
operator,0,0,0,1,16,1,0,0,0,1,16,1
other gromflomite,1,10,1,0,0,0,0,0,0,1,10,1
other jerry,0,0,0,6,46,1,0,0,0,6,46,1
other jerrys,0,0,0,1,6,1,0,0,0,1,6,1
other morty,0,0,0,1,5,1,0,0,0,1,5,1
other rick,0,0,0,3,21,1,0,0,0,3,21,1
other ricks,0,0,0,0,0,0,1,11,1,1,11,1
owner,1,14,1,0,0,0,0,0,0,1,14,1
pa system,0,0,0,0,0,0,1,48,1,1,48,1
pajama jerry,0,0,0,2,9,1,0,0,0,2,9,1
paramedic,1,21,1,0,0,0,0,0,0,1,21,1
passengers,1,12,1,0,0,0,0,0,0,1,12,1
pastor bob,0,0,0,2,33,1,0,0,0,2,33,1
paul,0,0,0,3,80,1,0,0,0,3,80,1
pencilvester,0,0,0,7,77,1,0,0,0,7,77,1
phillip jacobs,0,0,0,4,166,1,0,0,0,4,166,1
phoenixperson,0,0,0,0,0,0,1,1,1,1,1,1
phone 1,1,13,1,0,0,0,0,0,0,1,13,1
phone 2,1,12,1,0,0,0,0,0,0,1,12,1
phone waiter,1,3,1,0,0,0,0,0,0,1,3,1
photography cyborg,0,0,0,1,40,1,0,0,0,1,40,1
pichael thompson,0,0,0,3,62,1,0,0,0,3,62,1
pichael thomson,0,0,0,2,62,1,0,0,0,2,62,1
pickle rick,0,0,0,0,0,0,80,1113,1,80,1113,1
pink-shirt jerry,0,0,0,3,10,1,0,0,0,3,10,1
pizza 1,1,12,1,0,0,0,0,0,0,1,12,1
pizza 2,1,13,1,0,0,0,0,0,0,1,13,1
pizza derivery man,0,0,0,3,35,1,0,0,0,3,35,1
plane passenger,1,3,1,0,0,0,0,0,0,1,3,1
plane passengers,2,2,1,0,0,0,0,0,0,2,2,1
plumber rick,0,0,0,0,0,0,2,29,1,2,29,1
plutonian man,1,6,1,0,0,0,0,0,0,1,6,1
plutonian woman,1,14,1,0,0,0,0,0,0,1,14,1
plutonians,1,1,1,0,0,0,0,0,0,1,1,1
police chief,4,90,1,0,0,0,0,0,0,4,90,1
